sentence,len
"'Dinah'll miss me very much to-night, I should think!'",54
(Dinah was the cat.),20
'I hope they'll remember her saucer of milk at tea-time.,56
Dinah my dear!,14
I wish you were down here with me!,34
"There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know.",108
"But do cats eat bats, I wonder?'",32
"And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, 'Do cats eat bats?",117
Do cats eat bats?',18
"and sometimes, 'Do bats eat cats?'",34
"for, you see, as she couldn't answer either question, it didn't much matter which way she put it.",97
"She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, 'Now, Dinah, tell me the truth: did you ever eat a bat?'",198
"when suddenly, thump!",21
thump!,6
"down she came upon a heap of sticks and dry leaves, and the fall was over.",74
"Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it.",212
"There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, 'Oh my ears and whiskers, how late it's getting!'",175
"She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.",189
"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.",228
"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall; but, alas!",221
"either the locks were too large, or the key was too small, but at any rate it would not open any of them.",105
"However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!",230
"Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw.",182
"How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; 'and even if my head would go through,' thought poor Alice, 'it would be of very little use without my shoulders.",293
"Oh, how I wish I could shut up like a telescope!",48
"I think I could, if I only knew how to begin.'",46
"For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.",146
"There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ('which certainly was not here before,' said Alice,) and round the neck of the bottle was a paper label, with the words 'DRINK ME' beautifully printed on it in large letters.",422
"It was all very well to say 'Drink me,' but the wise little Alice was not going to do THAT in a hurry.",102
"'No, I'll look first,' she said, 'and see whether it's marked ""poison"" or not'; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they WOULD not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger VERY deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked 'poison,' it is almost certain to disagree with you, sooner or later.",590
"However, this bottle was NOT marked 'poison,' so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.",259
*    *    *    *    *    *    *      *    *    *    *    *    *    *    *    *    *    *    *    *  'What a curious feeling!',125
said Alice; 'I must be shutting up like a telescope.',53
"And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.",188
"First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; 'for it might end, you know,' said Alice to herself, 'in my going out altogether, like a candle.",226
I wonder what I should be like then?',37
"And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.",146
"After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice!",122
"when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.",393
"'Come, there's no use in crying like that!'",43
"said Alice to herself, rather sharply; 'I advise you to leave off this minute!'",79
"She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.",362
"'But it's no use now,' thought poor Alice, 'to pretend to be two people!",72
"Why, there's hardly enough of me left to make ONE respectable person!'",70
"Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.",186
"'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'",220
"She ate a little bit, and said anxiously to herself, 'Which way?",64
Which way?,10
"', holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.",371
"So she set to work, and very soon finished off the cake.",56
*    *    *    *    *    *    *      *    *    *    *    *    *    *    *    *    *    *    *    *     CHAPTER II.,114
The Pool of Tears  'Curiouser and curiouser!',45
"cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); 'now I'm opening out like the largest telescope that ever was!",167
"Good-bye, feet!'",16
"(for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).",108
"'Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?",95
I'm sure _I_ shan't be able!,28
"I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;--but I must be kind to them,' thought Alice, 'or perhaps they won't walk the way I want to go!",197
Let me see: I'll give them a new pair of boots every Christmas.',64
And she went on planning to herself how she would manage it.,60
"'They must go by the carrier,' she thought; 'and how funny it'll seem, sending presents to one's own feet!",106
And how odd the directions will look!,37
"ALICE'S RIGHT FOOT, ESQ.",24
"HEARTHRUG,          NEAR THE FENDER,            (WITH ALICE'S LOVE).",68
"Oh dear, what nonsense I'm talking!'",36
"Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.",183
Poor Alice!,11
"It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.",186
"'You ought to be ashamed of yourself,' said Alice, 'a great girl like you,' (she might well say this), 'to go on crying in this way!",132
"Stop this moment, I tell you!'",30
"But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.",156
"After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming.",121
"It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, 'Oh!",207
"the Duchess, the Duchess!",25
Oh!,3
won't she be savage if I've kept her waiting!',46
"Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, 'If you please, sir--' The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.",290
"Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: 'Dear, dear!",136
How queer everything is to-day!,31
And yesterday things went on just as usual.,43
I wonder if I've been changed in the night?,43
Let me think: was I the same when I got up this morning?,56
I almost think I can remember feeling a little different.,57
"But if I'm not the same, the next question is, Who in the world am I?",69
"Ah, THAT'S the great puzzle!'",29
"And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.",146
"'I'm sure I'm not Ada,' she said, 'for her hair goes in such long ringlets, and mine doesn't go in ringlets at all; and I'm sure I can't be Mabel, for I know all sorts of things, and she, oh!",191
she knows such a very little!,29
"Besides, SHE'S she, and I'm I, and--oh dear, how puzzling it all is!",68
I'll try if I know all the things I used to know.,49
"Let me see: four times five is twelve, and four times six is thirteen, and four times seven is--oh dear!",104
I shall never get to twenty at that rate!,41
"However, the Multiplication Table doesn't signify: let's try Geography.",71
"London is the capital of Paris, and Paris is the capital of Rome, and Rome--no, THAT'S all wrong, I'm certain!",110
I must have been changed for Mabel!,35
"I'll try and say ""How doth the little--""' and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:--       'How doth the little crocodile       Improve his shining tail,      And pour the waters of the Nile       On every golden scale!",368
"'How cheerfully he seems to grin,       How neatly spread his claws,      And welcome little fishes in       With gently smiling jaws!'",135
"'I'm sure those are not the right words,' said poor Alice, and her eyes filled with tears again as she went on, 'I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh!",245
ever so many lessons to learn!,30
"No, I've made up my mind about it; if I'm Mabel, I'll stay down here!",69
"It'll be no use their putting their heads down and saying ""Come up again, dear!""",80
"I shall only look up and say ""Who am I then?",44
"Tell me that first, and then, if I like being that person, I'll come up: if not, I'll stay down here till I'm somebody else""--but, oh dear!'",140
"cried Alice, with a sudden burst of tears, 'I do wish they WOULD put their heads down!",86
I am so VERY tired of being all alone here!',44
"As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit's little white kid gloves while she was talking.",158
'How CAN I have done that?',27
she thought.,12
'I must be growing small again.',32
"She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.",321
'That WAS a narrow escape!',27
"said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; 'and now for the garden!'",132
"and she ran with all speed back to the little door: but, alas!",62
"the little door was shut again, and the little golden key was lying on the glass table as before, 'and things are worse than ever,' thought the poor child, 'for I never was so small as this before, never!",204
"And I declare it's too bad, that it is!'",40
"As she said these words her foot slipped, and in another moment, splash!",72
she was up to her chin in salt water.,37
"Her first idea was that she had somehow fallen into the sea, 'and in that case I can go back by railway,' she said to herself.",126
"(Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)",303
"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.",108
'I wish I hadn't cried so much!',32
"said Alice, as she swam about, trying to find her way out.",58
"'I shall be punished for it now, I suppose, by being drowned in my own tears!",77
"That WILL be a queer thing, to be sure!",39
"However, everything is queer to-day.'",37
"Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remembered how small she was now, and she soon made out that it was only a mouse that had slipped in like herself.",306
"'Would it be of any use, now,' thought Alice, 'to speak to this mouse?",70
"Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there's no harm in trying.'",128
"So she began: 'O Mouse, do you know the way out of this pool?",61
"I am very tired of swimming about here, O Mouse!'",49
"(Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, 'A mouse--of a mouse--to a mouse--a mouse--O mouse!')",222
"The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.",121
"'Perhaps it doesn't understand English,' thought Alice; 'I daresay it's a French mouse, come over with William the Conqueror.'",126
"(For, with all her knowledge of history, Alice had no very clear notion how long ago anything had happened.)",108
So she began again: 'Ou est ma chatte?',39
which was the first sentence in her French lesson-book.,55
"The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright.",89
"'Oh, I beg your pardon!'",24
"cried Alice hastily, afraid that she had hurt the poor animal's feelings.",73
'I quite forgot you didn't like cats.',38
'Not like cats!',16
"cried the Mouse, in a shrill, passionate voice.",47
'Would YOU like cats if you were me?',37
"'Well, perhaps not,' said Alice in a soothing tone: 'don't be angry about it.",77
And yet I wish I could show you our cat Dinah: I think you'd take a fancy to cats if you could only see her.,108
"She is such a dear quiet thing,' Alice went on, half to herself, as she swam lazily about in the pool, 'and she sits purring so nicely by the fire, licking her paws and washing her face--and she is such a nice soft thing to nurse--and she's such a capital one for catching mice--oh, I beg your pardon!'",302
"cried Alice again, for this time the Mouse was bristling all over, and she felt certain it must be really offended.",115
'We won't talk about her any more if you'd rather not.',55
'We indeed!',12
"cried the Mouse, who was trembling down to the end of his tail.",63
'As if I would talk on such a subject!,38
"Our family always HATED cats: nasty, low, vulgar things!",56
Don't let me hear the name again!',34
'I won't indeed!',17
"said Alice, in a great hurry to change the subject of conversation.",67
'Are you--are you fond--of--of dogs?',37
"The Mouse did not answer, so Alice went on eagerly: 'There is such a nice little dog near our house I should like to show you!",126
"A little bright-eyed terrier, you know, with oh, such long curly brown hair!",76
"And it'll fetch things when you throw them, and it'll sit up and beg for its dinner, and all sorts of things--I can't remember half of them--and it belongs to a farmer, you know, and he says it's so useful, it's worth a hundred pounds!",235
He says it kills all the rats and--oh dear!',44
"cried Alice in a sorrowful tone, 'I'm afraid I've offended it again!'",69
"For the Mouse was swimming away from her as hard as it could go, and making quite a commotion in the pool as it went.",117
"So she called softly after it, 'Mouse dear!",43
"Do come back again, and we won't talk about cats or dogs either, if you don't like them!'",89
"When the Mouse heard this, it turned round and swam slowly back to her: its face was quite pale (with passion, Alice thought), and it said in a low trembling voice, 'Let us get to the shore, and then I'll tell you my history, and you'll understand why it is I hate cats and dogs.'",280
"It was high time to go, for the pool was getting quite crowded with the birds and animals that had fallen into it: there were a Duck and a Dodo, a Lory and an Eaglet, and several other curious creatures.",203
"Alice led the way, and the whole party swam to the shore.",57
CHAPTER III.,12
"A Caucus-Race and a Long Tale  They were indeed a queer-looking party that assembled on the bank--the birds with draggled feathers, the animals with their fur clinging close to them, and all dripping wet, cross, and uncomfortable.",230
"The first question of course was, how to get dry again: they had a consultation about this, and after a few minutes it seemed quite natural to Alice to find herself talking familiarly with them, as if she had known them all her life.",233
"Indeed, she had quite a long argument with the Lory, who at last turned sulky, and would only say, 'I am older than you, and must know better'; and this Alice would not allow without knowing how old it was, and, as the Lory positively refused to tell its age, there was no more to be said.",289
"At last the Mouse, who seemed to be a person of authority among them, called out, 'Sit down, all of you, and listen to me!",122
I'LL soon make you dry enough!',31
"They all sat down at once, in a large ring, with the Mouse in the middle.",73
"Alice kept her eyes anxiously fixed on it, for she felt sure she would catch a bad cold if she did not get dry very soon.",121
'Ahem!',7
"said the Mouse with an important air, 'are you all ready?",57
This is the driest thing I know.,32
"Silence all round, if you please!",33
"""William the Conqueror, whose cause was favoured by the pope, was soon submitted to by the English, who wanted leaders, and had been of late much accustomed to usurpation and conquest.",184
"Edwin and Morcar, the earls of Mercia and Northumbria--""'  'Ugh!'",65
"said the Lory, with a shiver.",29
'I beg your pardon!',20
"said the Mouse, frowning, but very politely: 'Did you speak?'",61
'Not I!',8
said the Lory hastily.,22
"'I thought you did,' said the Mouse. '",38
--I proceed.,12
"""Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the patriotic archbishop of Canterbury, found it advisable--""'  'Found WHAT?'",169
said the Duck.,14
"'Found IT,' the Mouse replied rather crossly: 'of course you know what ""it"" means.'",83
"'I know what ""it"" means well enough, when I find a thing,' said the Duck: 'it's generally a frog or a worm.",107
"The question is, what did the archbishop find?'",47
"The Mouse did not notice this question, but hurriedly went on, '""--found it advisable to go with Edgar Atheling to meet William and offer him the crown.",152
William's conduct at first was moderate.,40
"But the insolence of his Normans--"" How are you getting on now, my dear?'",73
"it continued, turning to Alice as it spoke.",43
"'As wet as ever,' said Alice in a melancholy tone: 'it doesn't seem to dry me at all.'",86
"'In that case,' said the Dodo solemnly, rising to its feet, 'I move that the meeting adjourn, for the immediate adoption of more energetic remedies--'  'Speak English!'",168
said the Eaglet.,16
"'I don't know the meaning of half those long words, and, what's more, I don't believe you do either!'",101
And the Eaglet bent down its head to hide a smile: some of the other birds tittered audibly.,92
"'What I was going to say,' said the Dodo in an offended tone, 'was, that the best thing to get us dry would be a Caucus-race.'",126
'What IS a Caucus-race?',24
"said Alice; not that she wanted much to know, but the Dodo had paused as if it thought that SOMEBODY ought to speak, and no one else seemed inclined to say anything.",165
"'Why,' said the Dodo, 'the best way to explain it is to do it.'",63
"(And, as you might like to try the thing yourself, some winter day, I will tell you how the Dodo managed it.)",109
"First it marked out a race-course, in a sort of circle, ('the exact shape doesn't matter,' it said,) and then all the party were placed along the course, here and there.",169
"There was no 'One, two, three, and away,' but they began running when they liked, and left off when they liked, so that it was not easy to know when the race was over.",167
"However, when they had been running half an hour or so, and were quite dry again, the Dodo suddenly called out 'The race is over!'",130
"and they all crowded round it, panting, and asking, 'But who has won?'",70
"This question the Dodo could not answer without a great deal of thought, and it sat for a long time with one finger pressed upon its forehead (the position in which you usually see Shakespeare, in the pictures of him), while the rest waited in silence.",252
"At last the Dodo said, 'EVERYBODY has won, and all must have prizes.'",69
'But who is to give the prizes?',32
quite a chorus of voices asked.,31
"'Why, SHE, of course,' said the Dodo, pointing to Alice with one finger; and the whole party at once crowded round her, calling out in a confused way, 'Prizes!",159
Prizes!',8
"Alice had no idea what to do, and in despair she put her hand in her pocket, and pulled out a box of comfits, (luckily the salt water had not got into it), and handed them round as prizes.",188
There was exactly one a-piece all round.,40
"'But she must have a prize herself, you know,' said the Mouse.",62
"'Of course,' the Dodo replied very gravely.",43
'What else have you got in your pocket?',40
"he went on, turning to Alice.",29
"'Only a thimble,' said Alice sadly.",35
"'Hand it over here,' said the Dodo.",35
"Then they all crowded round her once more, while the Dodo solemnly presented the thimble, saying 'We beg your acceptance of this elegant thimble'; and, when it had finished this short speech, they all cheered.",209
"Alice thought the whole thing very absurd, but they all looked so grave that she did not dare to laugh; and, as she could not think of anything to say, she simply bowed, and took the thimble, looking as solemn as she could.",223
"The next thing was to eat the comfits: this caused some noise and confusion, as the large birds complained that they could not taste theirs, and the small ones choked and had to be patted on the back.",200
"However, it was over at last, and they sat down again in a ring, and begged the Mouse to tell them something more.",114
"'You promised to tell me your history, you know,' said Alice, 'and why it is you hate--C and D,' she added in a whisper, half afraid that it would be offended again.",165
'Mine is a long and a sad tale!',32
"said the Mouse, turning to Alice, and sighing.",46
"'It IS a long tail, certainly,' said Alice, looking down with wonder at the Mouse's tail; 'but why do you call it sad?'",119
"And she kept on puzzling about it while the Mouse was speaking, so that her idea of the tale was something like this:--           'Fury said to a          mouse, That he         met in the        house,      ""Let us       both go to        law: I will         prosecute          YOU.--Come,            I'll take no            denial; We           must have a         trial: For       really this      morning I've     nothing     to do.""",437
"Said the       mouse to the        cur, ""Such         a trial,          dear Sir,             With           no jury         or judge,        would be       wasting       our       breath.""",189
"""I'll be         judge, I'll          be jury,""             Said          cunning           old Fury:           ""I'll           try the             whole             cause,               and            condemn            you           to            death.""'",257
'You are not attending!',24
said the Mouse to Alice severely.,33
'What are you thinking of?',27
"'I beg your pardon,' said Alice very humbly: 'you had got to the fifth bend, I think?'",86
'I had NOT!',12
"cried the Mouse, sharply and very angrily.",42
'A knot!',9
"said Alice, always ready to make herself useful, and looking anxiously about her.",81
"'Oh, do let me help to undo it!'",32
"'I shall do nothing of the sort,' said the Mouse, getting up and walking away.",78
'You insult me by talking such nonsense!',41
'I didn't mean it!',19
pleaded poor Alice.,19
"'But you're so easily offended, you know!'",42
The Mouse only growled in reply.,32
'Please come back and finish your story!',41
"Alice called after it; and the others all joined in chorus, 'Yes, please do!'",77
"but the Mouse only shook its head impatiently, and walked a little quicker.",75
'What a pity it wouldn't stay!',31
"sighed the Lory, as soon as it was quite out of sight; and an old Crab took the opportunity of saying to her daughter 'Ah, my dear!",131
Let this be a lesson to you never to lose YOUR temper!',55
"'Hold your tongue, Ma!'",23
"said the young Crab, a little snappishly.",41
'You're enough to try the patience of an oyster!',49
"'I wish I had our Dinah here, I know I do!'",43
"said Alice aloud, addressing nobody in particular.",50
'She'd soon fetch it back!',27
"'And who is Dinah, if I might venture to ask the question?'",59
said the Lory.,14
"Alice replied eagerly, for she was always ready to talk about her pet: 'Dinah's our cat.",88
And she's such a capital one for catching mice you can't think!,63
"And oh, I wish you could see her after the birds!",49
"Why, she'll eat a little bird as soon as look at it!'",53
This speech caused a remarkable sensation among the party.,58
"Some of the birds hurried off at once: one old Magpie began wrapping itself up very carefully, remarking, 'I really must be getting home; the night-air doesn't suit my throat!'",176
"and a Canary called out in a trembling voice to its children, 'Come away, my dears!",83
It's high time you were all in bed!',36
"On various pretexts they all moved off, and Alice was soon left alone.",70
'I wish I hadn't mentioned Dinah!',34
she said to herself in a melancholy tone.,41
"'Nobody seems to like her, down here, and I'm sure she's the best cat in the world!",83
"Oh, my dear Dinah!",18
I wonder if I shall ever see you any more!',43
"And here poor Alice began to cry again, for she felt very lonely and low-spirited.",82
"In a little while, however, she again heard a little pattering of footsteps in the distance, and she looked up eagerly, half hoping that the Mouse had changed his mind, and was coming back to finish his story.",209
CHAPTER IV.,11
"The Rabbit Sends in a Little Bill  It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went, as if it had lost something; and she heard it muttering to itself 'The Duchess!",207
The Duchess!,12
Oh my dear paws!,16
Oh my fur and whiskers!,23
"She'll get me executed, as sure as ferrets are ferrets!",55
"Where CAN I have dropped them, I wonder?'",41
"Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen--everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely.",332
"Very soon the Rabbit noticed Alice, as she went hunting about, and called out to her in an angry tone, 'Why, Mary Ann, what ARE you doing out here?",147
"Run home this moment, and fetch me a pair of gloves and a fan!",62
"Quick, now!'",12
"And Alice was so much frightened that she ran off at once in the direction it pointed to, without trying to explain the mistake it had made.",140
"'He took me for his housemaid,' she said to herself as she ran.",63
'How surprised he'll be when he finds out who I am!,51
"But I'd better take him his fan and gloves--that is, if I can find them.'",73
"As she said this, she came upon a neat little house, on the door of which was a bright brass plate with the name 'W.",116
RABBIT' engraved upon it.,25
"She went in without knocking, and hurried upstairs, in great fear lest she should meet the real Mary Ann, and be turned out of the house before she had found the fan and gloves.",177
"'How queer it seems,' Alice said to herself, 'to be going messages for a rabbit!",80
I suppose Dinah'll be sending me on messages next!',51
"And she began fancying the sort of thing that would happen: '""Miss Alice!",73
"Come here directly, and get ready for your walk!""",49
"""Coming in a minute, nurse!",27
"But I've got to see that the mouse doesn't get out.""",52
"Only I don't think,' Alice went on, 'that they'd let Dinah stop in the house if it began ordering people about like that!'",122
"By this time she had found her way into a tidy little room with a table in the window, and on it (as she had hoped) a fan and two or three pairs of tiny white kid gloves: she took up the fan and a pair of the gloves, and was just going to leave the room, when her eye fell upon a little bottle that stood near the looking-glass.",328
"There was no label this time with the words 'DRINK ME,' but nevertheless she uncorked it and put it to her lips.",112
"'I know SOMETHING interesting is sure to happen,' she said to herself, 'whenever I eat or drink anything; so I'll just see what this bottle does.",145
"I do hope it'll make me grow large again, for really I'm quite tired of being such a tiny little thing!'",104
"It did so indeed, and much sooner than she had expected: before she had drunk half the bottle, she found her head pressing against the ceiling, and had to stoop to save her neck from being broken.",196
"She hastily put down the bottle, saying to herself 'That's quite enough--I hope I shan't grow any more--As it is, I can't get out at the door--I do wish I hadn't drunk quite so much!'",183
Alas!,5
it was too late to wish that!,29
"She went on growing, and growing, and very soon had to kneel down on the floor: in another minute there was not even room for this, and she tried the effect of lying down with one elbow against the door, and the other arm curled round her head.",244
"Still she went on growing, and, as a last resource, she put one arm out of the window, and one foot up the chimney, and said to herself 'Now I can do no more, whatever happens.",176
What WILL become of me?',24
"Luckily for Alice, the little magic bottle had now had its full effect, and she grew no larger: still it was very uncomfortable, and, as there seemed to be no sort of chance of her ever getting out of the room again, no wonder she felt unhappy.",244
"'It was much pleasanter at home,' thought poor Alice, 'when one wasn't always growing larger and smaller, and being ordered about by mice and rabbits.",150
"I almost wish I hadn't gone down that rabbit-hole--and yet--and yet--it's rather curious, you know, this sort of life!",118
I do wonder what CAN have happened to me!,41
"When I used to read fairy-tales, I fancied that kind of thing never happened, and now here I am in the middle of one!",117
"There ought to be a book written about me, that there ought!",60
"And when I grow up, I'll write one--but I'm grown up now,' she added in a sorrowful tone; 'at least there's no room to grow up any more HERE.'",142
"'But then,' thought Alice, 'shall I NEVER get any older than I am now?",70
"That'll be a comfort, one way--never to be an old woman--but then--always to have lessons to learn!",99
"Oh, I shouldn't like THAT!'",27
"'Oh, you foolish Alice!'",24
she answered herself.,21
'How can you learn lessons in here?,35
"Why, there's hardly room for YOU, and no room at all for any lesson-books!'",75
"And so she went on, taking first one side and then the other, and making quite a conversation of it altogether; but after a few minutes she heard a voice outside, and stopped to listen.",185
'Mary Ann!,10
Mary Ann!',10
said the voice.,15
'Fetch me my gloves this moment!',33
Then came a little pattering of feet on the stairs.,51
"Alice knew it was the Rabbit coming to look for her, and she trembled till she shook the house, quite forgetting that she was now about a thousand times as large as the Rabbit, and had no reason to be afraid of it.",214
